type_label,post_id,reply_id,comment_id,subject,content,author_id,author_nickName,public_time,follow_count,vote_count
1,1004035377,,,请问纸质证书寄过了吗？,,6944953,ndmali,1509067582563,0,0
1,1003782692,,,请问老师证书是要自己申请还是会自动发下来？,请问老师证书是要自己申请还是会自动发下来？,7802506,饶佳斌菌,1504587570723,1,0
2,1003782692,1013846115,,,<p>电子版证书免费发放，纸质版需要申请</p>,5319743,gududebeiyan,1504676732554,0,0
1,1003758452,,,缺少第七讲作业，担心不过,第七讲的作业错过了时间，没有成绩，担心没有办法通过，有没有人知道，这样还有可能通过吗？,5319743,gududebeiyan,1503970033449,1,0
2,1003758452,1013752348,,,<p>不用担心，没问题。</p>,1023616596,mooc1484271797590,1504056184266,0,0
1,1003758448,,,第五讲  没有文档吗？,请问一下老师：第五讲能不能上传一下文档，方便大学复习，谢谢！,5319743,gududebeiyan,1503969682213,0,0
1,1003757265,,,Mooc电子证书问题,老师好，为什么过一段时间在邮箱中找不到电子证书的相关邮件？,1023934534,雨后De暖阳,1503901194526,1,0
2,1003757265,1013763062,,,<p>我还没见过样品</p>,1023616596,mooc1484271797590,1504071123527,1,0
3,1003757265,1013763062,1004191027,,很快应该就会见到的，只要是合格的都可以。,1023934534,雨后De暖阳,1504072376426,,0
1,1003761135,,,期末考试已提交，还要继续学习可以吗？,,1027962527,秋天秋夜,1503798387889,2,0
2,1003761135,1013739276,,,要到那里可以继续学习，,1027962527,秋天秋夜,1503914947643,0,0
2,1003761135,1013737228,,,<p>可以啊</p>,2011702,一朵奇之葩,1503909928423,0,0
1,1003762013,,,测试时间,测试时间提早结束，22.55提交答案提交不了,12828910,哇咔咔呀,1503673164561,2,1
2,1003762013,1013723458,,,<p>还可以提交。<br ></p>,1024388211,徐强mooc1487817230610,1503798876857,0,0
2,1003762013,1013720209,,,"<p><img src=""http://nos.netease.com/edu-image/e7ac51af-e5b9-4e4c-823b-a04054cf62c4.png""    /></p>",12828910,哇咔咔呀,1503673228592,0,1
1,1003751056,,,请问我的小油菜长不起来呢？,这几天都蔫死了！请问怎么回事？济南地区。左边的菠菜没生出芽来，学习之后搞清了，温度太高。,1018867916,mooc1469590134035,1503633106207,1,0
2,1003751056,1013752356,,,<p>表面也看到都裂纹了，高温过干了些</p>,1023616596,mooc1484271797590,1504056304437,0,0
1,1003740549,,,期末考试,考试题什么时间发上来啊，也没有几天就结课了吧,11184596,十二色云,1503389949906,0,0
1,1003719671,,,第二章,龙眼和桂圆有何区别？,1019085165,断肠草mooc1,1502873136980,4,0
2,1003719671,1013684215,,,"<span style=""-webkit-text-size-adjust: auto; background-color: rgba(255, 255, 255, 0);""  >桂圆又叫龙眼，很多朋友曾经问我桂圆和龙眼的差别，其实两者就是同一种东西，没有什么差别的。为什么叫桂圆呢?封建时代由于龙眼是犯忌，所以为了避讳就叫桂圆，应为广西产的龙眼非常园，所以叫桂圆了，桂是广西的别称</span>",1027945546,铜仁学院13张楷,1503388715880,0,0
2,1003719671,1013675140,,,<p>桂圆又叫龙眼，很多朋友曾经问我桂圆和龙眼的差别，其实两者就是同一种东西，没有什么差别的。为什么叫桂圆呢?封建时代由于龙眼是犯忌，所以为了避讳就叫桂圆，应为广西产的龙眼非常园，所以叫桂圆了，桂是广西的别称。</p><p>　　没有实质上的区别，实际上是同一个水果。</p><p>　　桂圆：一般把龙眼晒成干，食用或药用;</p><p>　　龙眼：新鲜的果实，剥壳折枝后食用。龙眼带壳带核晒干后，叫龙眼干</p><p>http://health.pclady.com.cn/healthzq/1111/758474.html</p>,7802506,饶佳斌菌,1503316627123,0,1
2,1003719671,1013665152,,,<p>桂圆是晒干的龙眼吧，龙眼鲜食，桂圆多用来入药和煲汤。</p>,1014993011,m13923849554163com,1503210432450,0,0
2,1003719671,1013641288,,,<p>不同的说法，同一个东西。龙眼正式书本上用的多一些。<br ></p>,1024388211,徐强mooc1487817230610,1502975465548,0,1
1,1003719552,,,能否把相同自然环境里的植物系统应用到城市高楼屋顶绿化呢？,老师您好，我想请教您，屋顶绿化对城市气候和生态很有益，在不能种树的屋顶现在主要是种的花草，有些屋顶种的全是草坪。但是单一的草坪是很脆弱的，对生态的作用也小。城市高楼顶上要经受酷暑，严寒，大风，大雨，甚至干旱的严酷环境，那我们能不能把相同自然环境里的植物系统应用到高楼屋顶绿化呢？我看到过南非桌山顶上很相似的严酷环境里长满了各种各样低矮的特别的植物，从贴地的到及膝的灌木密密麻麻的交织生长在一起，很旺盛,1027121213,caroltuzi,1502809380291,2,0
2,1003719552,1013745926,,,<p>那些房子在建设时就考虑了屋顶绿化，所以在建筑选材、建筑造型、防水防腐蚀等方面都事先做好了准备。而国内的房子基本没有考虑过这些，所以想简单模仿人家是不可行的。老师的建议是对的，首先你得考虑不破坏建筑本身，才说得到绿化。</p>,877035,金言,1503990346795,0,0
2,1003719552,1013658238,,,屋顶的环境是比较特殊的，尤其是要考虑承重和给排水的问题。一般选择植株低矮，根系浅和抗逆性强的植物材料作为主体材料；另外屋顶做好对应的防水和隔离处理，防止根系穿透墙体；根据种植者的爱好可以种单一植物，也可以多种植物完美组合，乔灌草组成一个稳定的生态系统。,1026419087,何燕红hyh,1503133254021,1,3
3,1003719552,1013658238,1004144189,,谢谢老师！,1027121213,caroltuzi,1503282476814,,0
1,1003718359,,,请问哪种种植技术对肥的利用效率最高，施的肥都被作物吸收呢？,老师您好，我想请教您，现在给作物施的肥特别是化肥，作物只能吸收一部分，很大部分都流失了，很浪费，还污染环境和水。现在有什么新的种植技术可以解决这个问题吗？另外滴灌，水培，无土栽培等这些现有的种植方式哪一种最节约肥和水呢？非常感谢！,1027121213,caroltuzi,1502764533356,2,0
2,1003718359,1013762053,,,<p>化肥利用率过低，污染厉害了，尤其地下水。双节后增加有机肥，希望提高些！</p>,1023616596,mooc1484271797590,1504071041583,0,0
